n,tempo
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000001
17,0.000001
18,0.000003
19,0.000005
20,0.000011
21,0.000021
22,0.000041
23,0.000085
24,0.000169
25,0.000338
